"Login Only Catalog","Catalogue visible uniquement aux personnes connectées"
"Disable Extension","Désactiver l'extension"
"Hide Category Navigation","Masquer la navigation dans les catégories"
"Message when a customer is redirected","Message quand un client est redirigé vers la page de connexion"
